date,STOCK_RELIANCE,STOCK_TCS,STOCK_HDFCBANK,STOCK_INFY,STOCK_ICICIBANK,STOCK_HUL,STOCK_INDUSINDBK,STOCK_SBIN,STOCK_BHARTIARTL,STOCK_ARTI,STOCK_ATUL,STOCK_BORORENEW,STOCK_CROMPTON,STOCK_DEEPAKNTR,STOCK_LLOYDS,STOCK_MACPOWER,STOCK_PERSISTENT,STOCK_RADICO,STOCK_SUPRAJIT,STOCK_TANLA,STOCK_TIMKEN,STOCK_VBL
2000-01-03,13.183450698852539,,6.765120029449463,73.00528717041016,,126.06787872314453,,15.257877349853516,,,,,,,,,,,,,,
2000-01-04,14.238862037658691,,6.9163408279418945,78.75545501708984,,124.62006378173828,,16.225393295288086,,,,,,,,,,,,,,
2000-01-05,14.796682357788086,,6.643746376037598,72.45513916015625,,120.18668365478516,,15.558470726013184,,,,,,,,,,,,,,
2000-01-06,15.417352676391602,,6.6974687576293945,66.65870666503906,,125.01070404052734,,16.34437370300293,,,,,,,,,,,,,,
2000-01-07,16.47538185119629,,6.699458599090576,61.326011657714844,,131.82614135742188,,17.1146297454834,,,,,,,,,,,,,,
2000-01-10,16.15850067138672,,6.601961135864258,64.27793884277344,,132.82594299316406,,16.876663208007812,,,,,,,,,,,,,,
2000-01-11,15.110944747924805,,6.502474308013916,59.1358757019043,,135.80616760253906,,15.527155876159668,,,,,,,,,,,,,,
2000-01-12,15.802331924438477,,6.5840535163879395,61.10194778442383,,144.65660095214844,,15.326766967773438,,,,,,,,,,,,,,
2000-01-13,16.333961486816406,,6.570126056671143,56.49065017700195,,152.2423858642578,,15.311110496520996,,,,,,,,,,,,,,
2000-01-14,16.56704330444336,,6.5840535163879395,56.891536712646484,,147.62322998046875,,14.979207038879395,,,,,,,,,,,,,,
2000-01-17,16.171592712402344,,7.111333847045898,55.46415328979492,,141.94960021972656,,14.772558212280273,,,,,,,,,,,,,,
2000-01-18,16.457054138183594,,6.5940022468566895,55.76667404174805,,139.9390869140625,,14.806999206542969,,,,,,,,,,,,,,
2000-01-19,16.739891052246094,,7.1232709884643555,60.2249641418457,,138.1635284423828,,15.276668548583984,,,,,,,,,,,,,,
2000-01-20,16.38633918762207,,7.107354164123535,59.55776596069336,,137.91500854492188,,14.885281562805176,,,,,,,,,,,,,,
2000-01-21,17.093442916870117,,7.48739767074585,62.702919006347656,,139.2097625732422,,14.869619369506836,,,,,,,,,,,,,,
2000-01-24,17.082963943481445,,7.980852127075195,64.84562683105469,,140.87059020996094,,14.296631813049316,,,,,,,,,,,,,,
2000-01-25,16.758220672607422,,8.619558334350586,65.92305755615234,,139.42559814453125,,14.080587387084961,,,,,,,,,,,,,,
2000-01-26,16.758220672607422,,8.619558334350586,65.92305755615234,,139.42559814453125,,14.080587387084961,,,,,,,,,,,,,,
2000-01-27,17.54388999938965,,9.140871047973633,69.06328582763672,,139.8408203125,,14.412484169006348,,,,,,,,,,,,,,
2000-01-28,17.721975326538086,,9.069241523742676,71.12657165527344,,137.87945556640625,,15.561594009399414,,,,,,,,,,,,,,
2000-01-31,17.187719345092773,,9.461217880249023,67.48359680175781,,133.30398559570312,,15.323636054992676,,,,,,,,,,,,,,
2000-02-01,17.496746063232422,,9.588561058044434,69.31232452392578,,127.11407470703125,,15.436352729797363,,,,,,,,,,,,,,
2000-02-02,17.816246032714844,,9.709935188293457,68.83015441894531,,131.49835205078125,,15.498976707458496,,,,,,,,,,,,,,
2000-02-03,17.894817352294922,,8.991639137268066,69.5309829711914,,133.18922424316406,,16.20660400390625,,,,,,,,,,,,,,
2000-02-04,18.025758743286133,,9.111026763916016,73.79351806640625,,128.20945739746094,,16.025001525878906,,,,,,,,,,,,,,
2000-02-07,17.996952056884766,,9.817383766174316,79.39321899414062,,126.14432525634766,,15.492713928222656,,,,,,,,,,,,,,
2000-02-08,17.934106826782227,,9.978551864624023,83.14974975585938,,126.03514099121094,,15.17333698272705,,,,,,,,,,,,,,
2000-02-09,18.353120803833008,,10.04819393157959,81.38873291015625,,132.10752868652344,,15.36746883392334,,,,,,,,,,,,,,
2000-02-10,18.633344650268555,,10.018342971801758,86.05401611328125,,127.35450744628906,,15.5803804397583,,,,,,,,,,,,,,
2000-02-11,19.028797149658203,,9.236377716064453,92.93861389160156,,129.8347930908203,,15.66179084777832,,,,,,,,,,,,,,
2000-02-14,18.442163467407227,,9.29010009765625,100.37409210205078,,125.6717300415039,,16.695053100585938,,,,,,,,,,,,,,
2000-02-15,18.03624153137207,,9.057304382324219,93.08816528320312,,125.7646713256836,,15.899755477905273,,,,,,,,,,,,,,
2000-02-16,18.235271453857422,,9.783556938171387,93.79925537109375,,126.25907897949219,,15.65552806854248,,,,,,,,,,,,,,
2000-02-17,18.570493698120117,,9.96462345123291,96.23304748535156,,127.13321685791016,,15.65552806854248,,,,,,,,,,,,,,
2000-02-18,18.303361892700195,,9.65422534942627,92.18030548095703,,137.2921600341797,,15.098194122314453,,,,,,,,,,,,,,
2000-02-21,18.104326248168945,,9.39754867553711,95.82608795166016,,148.2760467529297,,15.292320251464844,,,,,,,,,,,,,,
2000-02-22,17.5124568939209,,8.657364845275879,91.85792541503906,,160.13961791992188,,14.84770393371582,,,,,,,,,,,,,,
2000-02-23,17.274141311645508,,8.73297119140625,86.10963439941406,,157.118408203125,,14.656707763671875,,,,,,,,,,,,,,
2000-02-24,17.63817024230957,,9.033422470092773,86.8763427734375,,168.6376953125,,15.239092826843262,,,,,,,,,,,,,,
