date,nifty50_NIFTY50,nse_sectoral_NIFTYBANK,nse_sectoral_NIFTYIT,nse_sectoral_NIFTYPHARMA,nse_sectoral_NIFTYFMCG,nse_sectoral_NIFTYAUTO,nse_sectoral_NIFTYREALTY,nse_sectoral_NIFTYFINNIFTY,nse_sectoral_NIFTYMETAL,nse_sectoral_NIFTYENERGY,nse_sectoral_NIFTYINFRA,nse_sectoral_NIFTYMIDCAP100,bse_SENSEX,commodities_GOLD_INR_ETF,commodities_SILVER_INR_ETF,commodities_GOLD_USD_FUT,commodities_SILVER_USD_FUT,commodities_CRUDE_WTI,commodities_CRUDE_BRENT,commodities_USDINR,etfs_ETF_NIFTY50,etfs_ETF_NIFTYBANK,etfs_ETF_NIFTYIT,etfs_ETF_GOLD,etfs_ETF_SILVER,etfs_ETF_LIQUID,etfs_ETF_GILT,etfs_ETF_MOTILAL_NIFTY50,cpi_CPI_FRED_CPI_Index,cpi_CPI_FRED_CPI_MoM,cpi_CPI_FRED_CPI_YoY,cpi_Bond_Yield_India_10Y_Yield,repo_rate_repo_rate
2000-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23690705275226132,0.0,0.0,-0.022637398739864034,-0.08354982262285993,-0.19033231200859846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03480282642322963,2.8314571331936755,0.0,0.0,0.3076923076923077
2001-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1786929947035626,0.0,0.0,0.024632397819967844,-0.0013086241901306694,-0.2597014657689978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05156947701766201,-0.28496472732882183,0.5875921427236184,0.0,-0.3529411764705882
2002-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0352355366928232,0.0,0.0,0.2472191994211399,0.04848222805312474,0.5725806715213047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03198298081123996,0.6087124207985086,-0.3798079278506923,0.0,-0.21818181818181825
2003-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7288942315373026,0.0,0.0,0.19591485876796977,0.23994999417485996,0.042307681491859706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0371901258907561,,0.1628098741092434,0.0,-0.09302325581395343
2004-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13079897543022811,0.0,0.0,0.05244163375706545,0.14345709418819386,0.33610086566177766,0.0,-0.04880299103106267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03784872809323092,,0.017709060851494707,0.0,-0.23076923076923084
2005-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42334863077008467,0.0,0.0,0.18194280133928586,0.29572491365163667,0.4048331379453327,0.0,0.03837634190004846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055661935289125886,,0.4706421613961944,0.0,-0.16666666666666652
2006-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46701567416360756,0.0,0.0,0.2283891746219322,0.4532880139785733,0.00016379949841449637,0.0,-0.020680459860597744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06528665946994683,,0.17291393356747853,0.0,0.6999999999999993
2007-12-31,0.22249992099166382,0.22646167465127243,0.001748449690324394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3396798327875672,0.47146750101786417,0.0,0.0,0.3143891819415503,0.15439226995545674,0.5721540467877468,0.2180401655672617,-0.10887833523981583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055117951399145326,,-0.15575476143763212,0.0,0.4117647058823526
2008-12-31,-0.5179438544182788,-0.49292088083471997,-0.5455678935249417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5939498735012438,-0.5244583125018834,0.0,0.0,0.058330278773261135,-0.23835909237944164,-0.5353198904540444,-0.514224817327416,0.22474200369154196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09701505057827697,,0.7601352756332906,0.0,0.4999999999999998
2009-12-31,0.7576161993578248,0.8053404965608408,1.6604480577703469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9897204225235219,0.8103296488607727,0.18000003269740494,0.0,0.23947485449580252,0.4926352990475438,0.779372271871259,0.7093660900273575,-0.03464053153857494,0.8009251849095802,1.0337078651685396,0.0,0.18000003269740494,0.0,0.0,0.0,0.0,0.14965979377959981,,0.5426451142119024,0.0,-0.5277777777777777
2010-12-31,0.17947341986058585,0.3058807166393709,0.287484570223286,0.0,0.0,0.0,-0.1396059625099575,0.0,0.0,0.0,0.007297795653897987,0.1916371257203382,0.17430932266366428,0.2166465117342351,0.0,0.2975712554272365,0.8374746713928203,0.15146165008343715,0.2158347187085421,-0.034267243540952896,0.18609954508944848,0.31238678147121,0.0,0.2166465117342351,0.0,-1.0451801362720836e-05,0.0,0.0,0.09467460197763966,,-0.36740122656412755,0.0,0.4705882352941173
2011-12-31,-0.2461814647179883,-0.3242010616760136,-0.18049419711789483,-0.02421207928193514,0.18863503361793899,-0.07643629533969754,-0.5151993919456088,-0.12150643121588467,-0.3502343597032358,-0.20708920145013088,-0.38544081376440187,-0.30995687543668393,-0.2464356029633964,0.2986964379679935,0.0,0.1018225851298924,-0.09818828412793412,0.081527739128467,0.13329812404662822,0.1827716664965473,-0.24038461123531896,-0.32464999476796386,0.0,0.2986964379679935,0.0,0.0,0.0,0.1425202937589658,0.06486482285488204,,-0.3148656397816022,0.0,0.3600000000000001
2012-12-31,0.2769717248156027,0.5654158296110725,-0.01857791247556606,0.3187653646544659,0.4852722549649877,0.42470977721065717,0.527144367282538,0.5195669471949198,0.1767629169365199,0.13767021013520786,0.21652789251331916,0.3915752961016672,0.25699201520955817,0.11253170206590668,0.0,0.06961297522092802,0.08243947392621953,-0.07092989989227916,0.03473648214136893,0.033075440604731554,0.2740953048588637,0.5803156632105222,0.0,0.11253170206590668,0.0,0.0,0.0,0.17258969754193032,0.11167521379770484,-1.456416058094279,0.7216606610881944,-0.049357476635514375,-0.1470588235294118
2013-12-31,0.06755175962251236,-0.08729990971922807,0.579739134902729,0.2651118799192216,0.12183322247574147,0.0940783583002307,-0.34376105896109166,-0.0731816952254365,-0.142625602049392,0.004263730023100987,-0.041644062802224324,-0.05100467068126213,0.08977169401504592,-0.06421727065237026,0.0,-0.28236207942849967,-0.35906272207782086,0.07187974837788147,-0.0027900059120768983,0.12834001130063966,0.06452197881678146,-0.09198684805037105,0.0,-0.06421727065237026,0.0,0.05498491458150179,0.0,0.5950225313466961,0.0913241780206846,-4.588500722889954,-0.1822341331164633,0.0906750537634411,-0.10344827586206884
2014-12-31,0.3138801071244448,0.6456951063442895,0.17844894225262187,0.43416781047375497,0.18221813080009852,0.5669252971263004,0.10021668141021678,0.5734466990595213,0.07015601396312254,0.0853765988340176,0.22705712871675465,0.559085886274078,0.2989389253341601,-0.09322902797299659,0.0,-0.014976287240509145,-0.1951497484122522,-0.4587482071852743,-0.4825812251622935,0.02586596963950405,0.31565575062351625,0.6494004827000663,0.0,-0.09322902797299659,0.0,0.0595049889446817,0.0,0.18817899247447056,0.058577348650964645,-1.0,-0.3585778714844081,-0.103594940976111,-0.11538461538461553
2015-12-31,-0.04060874952912141,-0.0968396609504818,-0.00033433485777878413,0.09257705285886053,0.003301724838989495,-0.0031940050582851542,-0.1501723243890738,-0.05407564050639835,-0.3134853001391511,-0.006573479461888909,-0.08908335612894658,0.06459474732850645,-0.05025127305597299,-0.0750360528089763,0.0,-0.1044006867447359,-0.11500160681719418,-0.30467428952069664,-0.34972967750538375,0.04855002617646287,-0.042633814344393506,-0.10316782683332171,0.0,-0.0750360528089763,0.0,0.04936844018293063,0.0,0.13561108001892963,0.06324155024841849,-inf,0.07962466217523256,-0.020657560245979867,-0.0869565217391306
