date,ETF_NIFTY_NEXT_50,ETF_NIFTY_MIDCAP150,ETF_PSU_BANK,ETF_SENSEX,ETF_PHARMA_SECTOR,ETF_AUTO_SECTOR,ETF_NIFTY200,ETF_HDFC_GOLD
2009-01-02,,,20.600000381469727,,,,,
2009-01-05,,,20.655000686645508,,,,,
2009-01-06,,,20.200000762939453,,,,,
2009-01-07,,,19.100000381469727,,,,,
2009-01-09,,,18.799999237060547,,,,,
2009-01-12,,,18.100000381469727,,,,,
2009-01-13,,,18.200000762939453,,,,,
2009-01-14,,,18.600000381469727,,,,,
2009-01-15,,,18.0,,,,,
2009-01-16,,,18.0,,,,,
2009-01-19,,,18.0,,,,,
2009-01-20,,,17.5,,,,,
2009-01-21,,,17.25,,,,,
2009-01-22,,,17.049999237060547,,,,,
2009-01-23,,,16.399999618530273,,,,,
2009-01-27,,,16.700000762939453,,,,,
2009-01-28,,,16.850000381469727,,,,,
2009-01-29,,,16.915000915527344,,,,,
2009-01-30,,,17.5,,,,,
2009-02-02,,,17.014999389648438,,,,,
2009-02-03,,,17.0,,,,,
2009-02-04,,,16.729999542236328,,,,,
2009-02-05,,,16.700000762939453,,,,,
2009-02-06,,,17.0,,,,,
2009-02-09,,,17.399999618530273,,,,,
2009-02-10,,,17.600000381469727,,,,,
2009-02-11,,,17.399999618530273,,,,,
2009-02-12,,,17.30500030517578,,,,,
2009-02-13,,,17.30500030517578,,,,,
2009-02-16,,,17.399999618530273,,,,,
2009-02-17,,,16.399999618530273,,,,,
2009-02-18,,,16.299999237060547,,,,,
2009-02-19,,,16.100000381469727,,,,,
2009-02-20,,,15.800000190734863,,,,,
2009-02-24,,,15.319999694824219,,,,,
2009-02-25,,,15.300000190734863,,,,,
2009-02-26,,,14.800000190734863,,,,,
2009-02-27,,,15.0,,,,,
2009-03-02,,,14.899999618530273,,,,,
2009-03-03,,,14.710000038146973,,,,,
2009-03-04,,,14.399999618530273,,,,,
2009-03-05,,,13.899999618530273,,,,,
