,mean_annual,std_annual,geo_mean_annual,sharpe_ratio,max_drawdown,skewness,kurtosis,best_month,worst_month,n_months,n_years,start_date,end_date
nse_tri_prices_TRI_NIFTY_50_TotalReturnsIndex,0.1506059762271399,0.2155952667728838,0.12421833112950753,0.39706797606702776,-0.5470697502372183,-0.3400570970309542,2.602551825697272,0.28083645355658704,-0.26369404226992843,317,26.416666666666668,2000-02-29,2026-06-30
nse_tri_prices_TRI_NIFTY_BANK_TotalReturnsIndex,0.22591615387181663,0.2958638587748924,0.1745917466164375,0.543885807946044,-0.5993214104677022,0.13693040868160772,3.1778693044194717,0.44708752913434635,-0.34310693600300624,317,26.416666666666668,2000-02-29,2026-06-30
nse_tri_prices_TRI_NIFTY_IT_TotalReturnsIndex,0.13772546179129597,0.32382156136026485,0.07900931954805168,0.22458498898529455,-0.8532247478468193,-0.04601160875137964,4.351193082600748,0.4700108492971584,-0.4199540266433487,317,26.416666666666668,2000-02-29,2026-06-30
nse_tri_prices_TRI_NIFTY_PHARMA_TotalReturnsIndex,0.17120565760511952,0.21000732810396142,0.14620123350337577,0.5057235790959818,-0.4406950270714137,0.022778282866098256,2.049178628773125,0.29967402457496384,-0.2437962396915898,305,25.416666666666668,2001-02-28,2026-06-30
nse_tri_prices_TRI_NIFTY_FMCG_TotalReturnsIndex,0.14979530466144508,0.18963876812108124,0.12968294727099594,0.4471411911266196,-0.3926155613310438,-0.06522385658812385,0.5975734515571935,0.19630840895276735,-0.17883761658453134,317,26.416666666666668,2000-02-29,2026-06-30
nse_tri_prices_TRI_NIFTY_AUTO_TotalReturnsIndex,0.2106397744155939,0.25400645224926455,0.17229234197940868,0.5733703735709555,-0.5922348776621786,-0.3681405371834562,2.8242791721391236,0.3067216444835217,-0.30951456175601355,269,22.416666666666668,2004-02-29,2026-06-30
nse_tri_prices_TRI_NIFTY_MIDCAP_100_TotalReturnsIndex,0.24994327105317238,0.2585058091674091,0.20932795071603816,0.7154317794591709,-0.6487786911581471,-0.2273381258689389,3.7509593439964113,0.3882421900043047,-0.3010520253830744,281,23.416666666666668,2003-02-28,2026-06-30
nse_tri_prices_TRI_NIFTY_SMALLCAP_100_TotalReturnsIndex,0.21227626226817797,0.2949147878043677,0.16016240325474307,0.4993858170512425,-0.7467549371487702,-0.30013820491251714,5.172375997157463,0.4740263014582786,-0.373625451187778,269,22.416666666666668,2004-02-29,2026-06-30
nse_tri_prices_TRI_NIFTY_REALTY_TotalReturnsIndex,0.107080046154864,0.4692298479248051,-0.004231895095606841,0.08967896296658305,-0.9202961120897086,0.8857523502833223,5.7814777134585364,0.8062134299247701,-0.4283360085607276,234,19.5,2007-01-31,2026-06-30
nse_tri_prices_TRI_NIFTY_METAL_TotalReturnsIndex,0.22526864275549885,0.36276841856679853,0.149146552242589,0.4417932613557641,-0.7671825418823145,0.2372895067244784,2.456303374638265,0.5112220128976162,-0.38996667264193385,269,22.416666666666668,2004-02-29,2026-06-30
nse_tri_prices_TRI_NIFTY_ENERGY_TotalReturnsIndex,0.21429622634233336,0.25831490507958965,0.17545092246205862,0.5779621051922403,-0.5134722193545721,0.10696587620185581,2.4034936712693313,0.265996976816647,-0.29023013237335205,305,25.416666666666668,2001-02-28,2026-06-30
