date,NSEBANK_PRICE,NSECNXIT_PRICE,CNXPHARMA_PRICE,CNXFMCG_PRICE,CNXAUTO_PRICE,CNXREALTY_PRICE,CNXMETAL_PRICE,CNXENERGY_PRICE,CNXINFRA_PRICE,NSEMIDCAP_PRICE,BSE_SENSEX,INDIA_VIX
2000-01-03,,,,,,,,,,,5375.10986328125,
2000-01-04,,,,,,,,,,,5491.009765625,
2000-01-05,,,,,,,,,,,5357.0,
2000-01-06,,,,,,,,,,,5421.52978515625,
2000-01-07,,,,,,,,,,,5414.47998046875,
2000-01-10,,,,,,,,,,,5518.39013671875,
2000-01-11,,,,,,,,,,,5296.2998046875,
2000-01-12,,,,,,,,,,,5491.2001953125,
2000-01-13,,,,,,,,,,,5444.81982421875,
2000-01-14,,,,,,,,,,,5471.27001953125,
2000-01-17,,,,,,,,,,,5404.06982421875,
2000-01-18,,,,,,,,,,,5464.509765625,
2000-01-19,,,,,,,,,,,5478.240234375,
2000-01-20,,,,,,,,,,,5355.7998046875,
2000-01-21,,,,,,,,,,,5423.0498046875,
2000-01-24,,,,,,,,,,,5458.06005859375,
2000-01-25,,,,,,,,,,,5367.7900390625,
2000-01-26,,,,,,,,,,,5367.7900390625,
2000-01-27,,,,,,,,,,,5369.10009765625,
2000-01-28,,,,,,,,,,,5335.7998046875,
2000-01-31,,,,,,,,,,,5205.2900390625,
2000-02-01,,,,,,,,,,,5215.5400390625,
2000-02-02,,,,,,,,,,,5304.919921875,
2000-02-03,,,,,,,,,,,5340.18994140625,
2000-02-04,,,,,,,,,,,5313.58984375,
2000-02-07,,,,,,,,,,,5474.0,
2000-02-08,,,,,,,,,,,5610.56005859375,
2000-02-09,,,,,,,,,,,5649.10009765625,
2000-02-10,,,,,,,,,,,5789.0400390625,
2000-02-11,,,,,,,,,,,5933.56005859375,
2000-02-14,,,,,,,,,,,5924.31005859375,
2000-02-15,,,,,,,,,,,5803.18994140625,
2000-02-16,,,,,,,,,,,5725.5,
2000-02-17,,,,,,,,,,,5835.14990234375,
2000-02-18,,,,,,,,,,,5721.64990234375,
2000-02-21,,,,,,,,,,,5874.89013671875,
2000-02-22,,,,,,,,,,,5883.330078125,
2000-02-23,,,,,,,,,,,5642.4599609375,
2000-02-24,,,,,,,,,,,5810.169921875,
2000-02-25,,,,,,,,,,,5623.080078125,
2000-02-28,,,,,,,,,,,5740.68994140625,
2000-02-29,,,,,,,,,,,5447.47021484375,
2000-03-01,,,,,,,,,,,5642.1201171875,
2000-03-02,,,,,,,,,,,5528.31005859375,
2000-03-03,,,,,,,,,,,5378.27001953125,
2000-03-06,,,,,,,,,,,5520.68994140625,
2000-03-07,,,,,,,,,,,5589.85009765625,
2000-03-08,,,,,,,,,,,5511.419921875,
2000-03-09,,,,,,,,,,,5328.7900390625,
2000-03-10,,,,,,,,,,,5301.77978515625,
2000-03-13,,,,,,,,,,,5129.22021484375,
2000-03-14,,,,,,,,,,,5175.7099609375,
2000-03-15,,,,,,,,,,,5249.759765625,
