,age,male_remaining,female_remaining,uniform_remaining
0,30,37.5,40.5,38.8
1,35,33.0,36.0,34.3
2,40,28.7,31.4,29.9
3,45,24.5,27.0,25.6
4,50,20.5,22.8,21.5
5,55,16.9,19.0,17.8
6,60,13.5,15.4,14.4
7,65,10.5,12.0,11.1
8,70,7.9,9.0,8.3
9,75,5.6,6.6,6.0
10,80,3.7,4.8,4.3
11,85,2.5,3.3,3.0
12,90,1.7,2.3,2.0
13,95,1.2,1.6,1.4
14,100,0.8,1.1,0.9
