,nifty50_NIFTY50,nse_sectoral_NIFTYBANK,nse_sectoral_NIFTYIT,nse_sectoral_NIFTYPHARMA,nse_sectoral_NIFTYFMCG,nse_sectoral_NIFTYAUTO,nse_sectoral_NIFTYREALTY,nse_sectoral_NIFTYFINNIFTY,nse_sectoral_NIFTYMETAL,nse_sectoral_NIFTYENERGY,nse_sectoral_NIFTYINFRA,nse_sectoral_NIFTYMIDCAP100,bse_SENSEX,commodities_GOLD_INR_ETF,commodities_SILVER_INR_ETF,commodities_GOLD_USD_FUT,commodities_SILVER_USD_FUT,commodities_CRUDE_WTI,commodities_CRUDE_BRENT,commodities_USDINR,etfs_ETF_NIFTY50,etfs_ETF_NIFTYBANK,etfs_ETF_NIFTYIT,etfs_ETF_GOLD,etfs_ETF_SILVER,etfs_ETF_LIQUID,etfs_ETF_GILT,etfs_ETF_MOTILAL_NIFTY50,cpi_CPI_FRED_CPI_Index,cpi_CPI_FRED_CPI_MoM,cpi_CPI_FRED_CPI_YoY,cpi_Bond_Yield_India_10Y_Yield,repo_rate_repo_rate
nifty50_NIFTY50,1.0,0.8846421890234406,0.5749132403702697,0.4205115811976231,0.6516002456534657,0.8087894750199065,0.7709073172182723,0.9147233874051058,0.6972511092922229,0.7911821323527156,0.8749150613143244,0.9001755507296798,0.9932778770341643,-0.11595368007001393,-0.001195514222170962,0.15799235193370015,0.2648592552484312,0.2195959185889062,0.24245868223170675,-0.5584392273495029,0.9945084345032519,0.8982748895285179,0.5407766906941973,-0.11595368007001393,-0.001195514222170962,-0.035391512627583534,0.439713098870078,0.21219747800266586,0.11034011782582526,-0.029631161542885788,0.037261832464376386,-0.09793917483847778,-0.04794488385063523
nse_sectoral_NIFTYBANK,0.8846421890234406,1.0,0.31795223195144184,0.18897067409663562,0.48998806904036013,0.7113774019829284,0.7664550209014623,0.9811503805907269,0.6757594854069109,0.6939072377969996,0.8227716235726563,0.8550993208141782,0.8900836585575822,-0.15148375525908167,0.0578464103324394,0.09171455529455834,0.20516205649311098,0.13095174903192872,0.16730532887873453,-0.5646861297542191,0.8972961852010263,0.992865084511645,0.13004823843676405,-0.15148375525908167,0.0578464103324394,-0.05082555152410708,0.44613614560652504,0.09192731961876566,0.07676150240410752,0.013137362145090661,0.02640783661298172,-0.09269692863572986,-0.035947014480947
nse_sectoral_NIFTYIT,0.5749132403702697,0.31795223195144184,1.0,0.3663447818945494,0.29239666507667583,0.27352628679225766,0.2594338121216968,0.19754916144793996,0.19404750773483587,0.24390384101507587,0.24307266884959197,0.47039083828766437,0.603189629462706,-0.03984883612960339,0.05495318681313196,-0.006750541042038532,0.12055411342101817,0.2188104901812851,0.23372444278598942,-0.18198272830329107,0.54739614444337,0.2968942911405246,0.9990338046394036,-0.03984883612960339,0.05495318681313196,-0.018664015648052566,0.15991325346003615,0.38792204312262035,0.16731059407522036,-0.05459413376921549,0.022638644749539208,-0.03217205490526188,-0.026498621440716186
nse_sectoral_NIFTYPHARMA,0.4205115811976231,0.18897067409663562,0.3663447818945494,1.0,0.3236614903763502,0.39575961872891596,0.22835694327227563,0.2169121613400653,0.27556702388787513,0.2992639392476362,0.3377565440388751,0.4567393347237106,0.4112681223476432,0.06011221007981521,-0.1655202903492065,0.09960878391550083,0.1283000917347323,0.07553900468167137,0.055426997803488885,-0.04180494274998619,0.4134309634146464,0.18537373322144177,0.4447546032109435,0.06011221007981521,-0.1655202903492065,-0.020382822897065285,0.2402872390579129,0.2878828174959766,0.19912802937017882,-0.011984195267326539,0.021888606697233113,-0.0997854752139183,0.11650009916760827
nse_sectoral_NIFTYFMCG,0.6516002456534657,0.48998806904036013,0.29239666507667583,0.3236614903763502,1.0,0.5700329302635675,0.4518865614782167,0.537317623105445,0.3266893875061567,0.4431345683560998,0.5312038692863068,0.5519651663725249,0.6539240596853182,-0.1792408627126538,-0.15010407598761596,0.018311093839921633,0.026101090547407516,-0.05464704643099869,-0.08059728284724135,-0.3464743097579551,0.6495388797497661,0.4928198144393822,0.38080022561673266,-0.1792408627126538,-0.15010407598761596,-0.053895303629865866,0.33842982046392744,0.17984687715914463,0.16453851061746505,0.02116689848796582,-0.007245848421150471,-0.08442628871475327,-0.011454724840334917
nse_sectoral_NIFTYAUTO,0.8087894750199065,0.7113774019829284,0.27352628679225766,0.39575961872891596,0.5700329302635675,1.0,0.6432465830391755,0.7131879636253615,0.5615651207265133,0.6541664393247805,0.7457578867775534,0.7976720543996293,0.7898327882607602,-0.09077767600483698,-0.0501244539163207,0.09620996497804248,0.22111577545327177,0.15349728595718673,0.16602472419671505,-0.43229841827306686,0.8040808633669162,0.7106249253000281,0.20778756178486635,-0.09077767600483698,-0.0501244539163207,0.008783253203661474,0.2214637935438695,0.14373713294113374,0.14869606355381382,0.09511635264702954,0.058427682311134786,-0.019772731260510674,0.029529810652271542
nse_sectoral_NIFTYREALTY,0.7709073172182723,0.7664550209014623,0.2594338121216968,0.22835694327227563,0.4518865614782167,0.6432465830391755,1.0,0.7571424673399095,0.6202463129611566,0.6779045554571252,0.8211436424435906,0.8412309246720491,0.7594093585293874,-0.18168763681241398,-0.10544301901041365,0.06110552706589592,0.13256573045620193,0.08738867788546131,0.09235042807879441,-0.5173906255482285,0.7739346674815527,0.7699161371594423,0.29716213872442365,-0.18168763681241398,-0.10544301901041365,0.03963715585751677,0.3069512678556166,0.12604652388765905,0.07927936977977665,-0.011876929655362448,0.0989867665816242,-0.12986068702234357,0.0031014322708984906
nse_sectoral_NIFTYFINNIFTY,0.9147233874051058,0.9811503805907269,0.19754916144793996,0.2169121613400653,0.537317623105445,0.7131879636253615,0.7571424673399095,1.0,0.6579659215662057,0.6764809446985997,0.8204563359768112,0.8240127470031658,0.9088128412716395,-0.12685816542221814,0.03420493868550282,0.06482121593475988,0.1553577349166478,0.018091740767502005,0.08375907164108985,-0.5456674708267653,0.9086863391773115,0.9729491491696968,0.21238275939654983,-0.12685816542221814,0.03420493868550282,-0.004977983029193943,0.4864536834239737,0.10477249521388518,0.19027704344626864,0.037630853969181755,0.10472509363746163,-0.10995210644806132,0.04039543469168548
nse_sectoral_NIFTYMETAL,0.6972511092922229,0.6757594854069109,0.19404750773483587,0.27556702388787513,0.3266893875061567,0.5615651207265133,0.6202463129611566,0.6579659215662057,1.0,0.66954199034487,0.7111323715815991,0.7297920016553149,0.6700732532926755,0.008121711440945544,0.4143723273508878,0.15628931648952032,0.35308810078556635,0.24793664140123303,0.29178765912926036,-0.35532109211134805,0.6979117631340518,0.6691918506684202,0.19650663186787515,0.008121711440945544,0.4143723273508878,-0.029266984644020326,0.24123315399309186,0.27544322950062194,0.025845121801420727,-0.09935262142471396,0.10381352842417751,0.009014877259274934,-0.0016530788210176325
nse_sectoral_NIFTYENERGY,0.7911821323527156,0.6939072377969996,0.24390384101507587,0.2992639392476362,0.4431345683560998,0.6541664393247805,0.6779045554571252,0.6764809446985997,0.66954199034487,1.0,0.7982712270709051,0.7364004105632824,0.7757977364590288,-0.13576698251298697,0.034968582178107936,0.040310555859015024,0.1341703257391917,0.1904924626012817,0.20919582963285274,-0.4137255726736056,0.7885845778732338,0.6923515408345334,0.19082743603087077,-0.13576698251298697,0.034968582178107936,0.014251775552840908,0.17810588307377703,0.15139451355382175,0.17393839509512266,-0.017574544684106297,0.1788604899867245,-0.027369939592320484,0.06592002832018426
nse_sectoral_NIFTYINFRA,0.8749150613143244,0.8227716235726563,0.24307266884959197,0.3377565440388751,0.5312038692863068,0.7457578867775534,0.8211436424435906,0.8204563359768112,0.7111323715815991,0.7982712270709051,1.0,0.880816365561383,0.8552231152813448,-0.15859069030936407,-0.04174438301039333,0.09638077146619903,0.16434555620103325,0.11470627618128118,0.12872464106589626,-0.5573427251445293,0.8719581855303322,0.8285777454824639,0.34230398237148596,-0.15859069030936407,-0.04174438301039333,0.0594171954581482,0.3246757421666117,0.07437508894093398,0.08715713368066128,-0.013397294356154573,0.06084049213787867,-0.12180867878536131,0.014383795917159648
