date,TRI_NIFTY_50_TotalReturnsIndex,TRI_NIFTY_BANK_TotalReturnsIndex,TRI_NIFTY_IT_TotalReturnsIndex,TRI_NIFTY_PHARMA_TotalReturnsIndex,TRI_NIFTY_FMCG_TotalReturnsIndex,TRI_NIFTY_AUTO_TotalReturnsIndex,TRI_NIFTY_MIDCAP_100_TotalReturnsIndex,TRI_NIFTY_SMALLCAP_100_TotalReturnsIndex,TRI_NIFTY_REALTY_TotalReturnsIndex,TRI_NIFTY_METAL_TotalReturnsIndex,TRI_NIFTY_ENERGY_TotalReturnsIndex,TRI_NIFTY_FIN_SERVICE_TotalReturnsIndex,TRI_NIFTY_INFRA_TotalReturnsIndex
2000-01-01,,1000.0,,,,,,,,,,,
2000-01-03,1688.44,1054.81,4508.79,,3175.1,,,,,,,,
2000-01-04,1737.75,1092.08,4829.86,,3156.29,,,,,,,,
2000-01-05,1692.25,1055.99,4650.5,,3099.5,,,,,,,,
2000-01-06,1715.37,1086.67,4450.46,,3262.78,,,,,,,,
2000-01-07,1710.81,1126.99,4117.19,,3411.22,,,,,,,,
2000-01-10,1731.65,1088.97,4174.15,,3510.55,,,,,,,,
2000-01-11,1667.54,1033.55,3903.31,,3458.68,,,,,,,,
2000-01-12,1723.01,1036.63,4016.25,,3673.47,,,,,,,,
2000-01-13,1719.4,1034.19,3899.33,,3731.85,,,,,,,,
2000-01-14,1720.83,1023.41,3904.29,,3676.68,,,,,,,,
2000-01-17,1709.01,1035.99,4005.06,,3536.7,,,,,,,,
2000-01-18,1703.81,1021.69,4024.91,,3519.17,,,,,,,,
2000-01-19,1733.66,1057.89,4210.8,,3487.8,,,,,,,,
2000-01-20,1697.87,1046.31,4212.11,,3446.06,,,,,,,,
2000-01-21,1718.55,1058.91,4457.0,,3504.89,,,,,,,,
2000-01-24,1711.13,1049.82,4596.11,,3479.26,,,,,,,,
2000-01-25,1682.28,1061.6,4802.3,,3391.96,,,,,,,,
2000-01-27,1700.84,1096.45,5022.79,,3423.22,,,,,,,,
2000-01-28,1695.75,1153.35,5271.89,,3328.8,,,,,,,,
2000-01-31,1639.66,1148.89,5078.67,,3221.87,,,,,,,,
2000-02-01,1643.15,1175.15,5291.33,,3144.5,,,,,,,,
2000-02-02,1683.98,1186.97,5543.71,,3231.87,,,,,,,,
2000-02-03,1694.48,1185.11,5803.47,,3220.6,,,,,,,,
2000-02-04,1696.44,1172.21,6166.74,,3137.56,,,,,,,,
2000-02-07,1735.52,1158.08,6305.82,,3136.08,,,,,,,,
2000-02-08,1763.25,1150.2,6199.41,,3129.71,,,,,,,,
2000-02-09,1792.42,1154.25,6367.49,,3287.18,,,,,,,,
2000-02-10,1815.28,1181.48,6739.61,,3279.63,,,,,,,,
2000-02-11,1862.8,1156.67,7199.48,,3376.84,,,,,,,,
2000-02-14,1850.6,1212.66,7584.0,,3262.12,,,,,,,,
2000-02-15,1806.1,1148.1,7714.75,,3308.63,,,,,,,,
2000-02-16,1815.17,1167.64,8098.29,,3325.4,,,,,,,,
2000-02-17,1848.06,1178.51,8612.86,,3383.15,,,,,,,,
2000-02-18,1822.28,1151.56,9017.18,,3465.24,,,,,,,,
2000-02-21,1860.15,1142.8,9565.42,,3608.3,,,,,,,,
2000-02-22,1844.82,1091.48,9105.52,,3719.03,,,,,,,,
2000-02-23,1799.58,1092.85,8521.82,,3627.31,,,,,,,,
2000-02-24,1837.34,1103.9,8236.17,,3764.7,,,,,,,,
2000-02-25,1814.48,1109.38,7739.9,,3727.85,,,,,,,,
2000-02-28,1827.32,1141.18,7640.48,,3663.72,,,,,,,,
2000-02-29,1755.45,1075.15,7465.7,,3447.52,,,,,,,,
2000-03-01,1816.87,1139.88,7987.01,,3555.21,,,,,,,,
2000-03-02,1799.73,1141.08,8489.88,,3360.62,,,,,,,,
2000-03-03,1756.72,1124.7,8282.87,,3142.41,,,,,,,,
2000-03-06,1791.2,1126.59,8573.74,,3053.16,,,,,,,,
2000-03-07,1806.31,1104.42,8573.21,,3082.61,,,,,,,,
2000-03-08,1769.35,1057.46,8568.94,,3128.8,,,,,,,,
2000-03-09,1748.01,1004.31,8191.83,,3073.09,,,,,,,,
2000-03-10,1701.82,987.88,8028.72,,3115.22,,,,,,,,
2000-03-13,1657.17,978.64,7407.0,,3196.68,,,,,,,,
2000-03-14,1663.91,996.36,6853.99,,3396.23,,,,,,,,
2000-03-15,1720.24,1027.62,6706.03,,3531.72,,,,,,,,
2000-03-16,1658.76,1055.36,6300.32,,3488.32,,,,,,,,
2000-03-21,1652.81,1074.75,6100.5,,3351.56,,,,,,,,
2000-03-22,1688.46,1088.21,6520.49,,3283.69,,,,,,,,
2000-03-23,1650.01,1086.02,6563.25,,3218.07,,,,,,,,
2000-03-24,1667.16,1086.32,6902.96,,3208.69,,,,,,,,
2000-03-27,1660.15,1071.09,7129.35,,3113.94,,,,,,,,
2000-03-28,1666.15,1071.17,7355.1,,3113.05,,,,,,,,
2000-03-29,1655.16,1070.13,7566.58,,3104.26,,,,,,,,
2000-03-30,1645.86,1101.06,7061.84,,3127.55,,,,,,,,
2000-03-31,1623.5,1106.83,6534.48,,3077.52,,,,,,,,
2000-04-03,1630.2,1110.14,6002.27,,3268.03,,,,,,,,
2000-04-04,1516.91,1026.65,5522.25,,3046.74,,,,,,,,
2000-04-05,1529.32,1000.84,5509.92,,3108.21,,,,,,,,
2000-04-06,1548.83,989.2,5625.32,,3099.57,,,,,,,,
2000-04-07,1659.91,1048.75,6013.77,,3310.73,,,,,,,,
2000-04-10,1719.44,1087.71,6494.92,,3294.56,,,,,,,,
2000-04-11,1731.86,1105.19,6659.37,,3269.71,,,,,,,,
2000-04-12,1699.6,1098.06,6535.34,,3200.54,,,,,,,,
2000-04-13,1620.58,1057.83,6070.16,,3128.06,,,,,,,,
2000-04-17,1540.44,1004.8,5577.79,,2987.02,,,,,,,,
2000-04-18,1509.76,1032.21,5184.87,,2937.24,,,,,,,,
2000-04-19,1500.09,1033.01,4921.79,,2954.68,,,,,,,,
2000-04-20,1511.51,1029.63,4996.83,,2953.14,,,,,,,,
2000-04-24,1481.99,1012.77,4704.5,,2911.83,,,,,,,,
2000-04-25,1451.51,1019.21,4583.81,,2815.83,,,,,,,,
2000-04-26,1533.98,1074.29,4852.8,,2910.87,,,,,,,,
2000-04-27,1513.47,1057.34,4681.71,,2894.2,,,,,,,,
2000-04-28,1502.41,1062.86,4516.63,,2825.49,,,,,,,,
2000-05-02,1424.33,1028.42,4120.67,,2624.36,,,,,,,,
2000-05-03,1406.07,1027.34,3829.61,,2631.88,,,,,,,,
2000-05-04,1474.98,1037.41,4188.65,,2835.77,,,,,,,,
2000-05-05,1519.7,1047.47,4540.94,,2934.4,,,,,,,,
2000-05-08,1458.42,1037.59,4131.37,,2800.92,,,,,,,,
2000-05-09,1472.85,1039.01,4303.7,,2874.11,,,,,,,,
2000-05-10,1456.39,1034.47,4140.97,,2841.3,,,,,,,,
2000-05-11,1393.78,1018.83,3786.36,,2750.32,,,,,,,,
2000-05-12,1370.55,1001.95,3570.48,,2723.6,,,,,,,,
2000-05-15,1388.12,999.61,3644.95,,2784.35,,,,,,,,
2000-05-16,1396.24,995.85,3646.54,,2837.29,,,,,,,,
2000-05-17,1401.44,1005.7,3587.76,,2833.3,,,,,,,,
2000-05-18,1381.94,990.83,3446.5,,2833.68,,,,,,,,
2000-05-19,1354.8,994.49,3320.86,,2760.59,,,,,,,,
2000-05-22,1317.4,972.1,3022.44,,2734.97,,,,,,,,
2000-05-23,1308.21,954.45,3095.83,,2731.87,,,,,,,,
2000-05-24,1320.5,956.96,3032.01,,2722.33,,,,,,,,
2000-05-25,1333.05,956.97,2998.06,,2788.65,,,,,,,,
2000-05-26,1362.65,959.87,2796.8,,3032.71,,,,,,,,
2000-05-29,1400.79,972.92,2778.51,,3095.46,,,,,,,,
2000-05-30,1436.91,992.85,2961.99,,3164.64,,,,,,,,
2000-05-31,1474.94,1007.55,3245.89,,3156.14,,,,,,,,
2000-06-01,1441.34,992.14,3184.63,,3059.35,,,,,,,,
2000-06-02,1484.35,1014.3,3422.95,,3093.0,,,,,,,,
2000-06-05,1500.75,1041.5,3650.7,,3092.46,,,,,,,,
2000-06-06,1519.07,1040.81,3847.32,,3108.66,,,,,,,,
2000-06-07,1528.56,1036.01,3901.36,,3105.45,,,,,,,,
2000-06-08,1564.15,1071.29,3999.65,,3153.12,,,,,,,,
2000-06-09,1567.94,1076.96,3934.31,,3140.05,,,,,,,,
2000-06-12,1539.3,1059.07,3868.65,,3077.78,,,,,,,,
2000-06-13,1531.29,1066.24,3857.35,,3049.54,,,,,,,,
2000-06-14,1534.35,1073.0,3938.71,,3091.82,,,,,,,,
2000-06-15,1544.77,1078.37,4119.7,,3062.12,,,,,,,,
2000-06-16,1579.03,1104.92,4352.29,,3071.27,,,,,,,,
2000-06-19,1601.95,1093.9,4473.94,,3117.39,,,,,,,,
2000-06-20,1610.88,1117.21,4547.75,,3113.43,,,,,,,,
2000-06-21,1576.79,1097.19,4295.77,,3140.9,,,,,,,,
2000-06-22,1590.8,1113.09,4326.39,,3202.83,,,,,,,,
2000-06-23,1573.64,1127.54,4114.65,,3316.11,,,,,,,,
2000-06-26,1551.67,1091.21,4182.21,,3253.84,,,,,,,,
2000-06-27,1554.51,1090.17,4131.96,,3297.11,,,,,,,,
2000-06-28,1572.0,1093.5,4228.03,,3395.01,,,,,,,,
2000-06-29,1595.9,1101.38,4239.99,,3429.98,,,,,,,,
2000-06-30,1573.55,1094.97,4249.71,,3393.3,,,,,,,,
2000-07-03,1599.0,1127.3,4512.32,,3324.43,,,,,,,,
2000-07-04,1616.17,1143.19,4581.73,,3359.66,,,,,,,,
2000-07-05,1632.54,1146.84,4495.75,,3421.38,,,,,,,,
2000-07-06,1622.64,1136.31,4406.7,,3381.42,,,,,,,,
2000-07-07,1623.5,1143.25,4354.95,,3384.96,,,,,,,,
2000-07-10,1614.99,1123.63,4310.57,,3396.8,,,,,,,,
2000-07-11,1624.51,1129.87,4197.79,,3408.42,,,,,,,,
2000-07-12,1640.37,1122.9,4377.91,,3446.72,,,,,,,,
2000-07-13,1628.87,1115.98,4171.92,,3517.7,,,,,,,,
2000-07-14,1615.12,1109.12,4079.15,,3560.99,,,,,,,,
2000-07-17,1582.92,1095.37,4000.3,,3398.45,,,,,,,,
2000-07-18,1565.22,1104.67,3893.03,,3428.5,,,,,,,,
2000-07-19,1536.01,1090.37,3827.59,,3331.69,,,,,,,,
2000-07-20,1523.6,1069.07,3831.07,,3243.41,,,,,,,,
2000-07-21,1494.77,1062.01,3720.06,,3210.93,,,,,,,,
2000-07-24,1408.97,998.17,3365.98,,3050.27,,,,,,,,
2000-07-25,1443.05,1025.56,3663.36,,3089.71,,,,,,,,
2000-07-26,1410.64,1008.46,3382.67,,3085.48,,,,,,,,
2000-07-27,1431.83,1014.17,3525.0,,3088.14,,,,,,,,
2000-07-28,1427.28,1017.16,3530.41,,3079.41,,,,,,,,
2000-07-31,1426.26,1007.9,3465.74,,3113.8,,,,,,,,
2000-08-01,1419.84,993.85,3444.23,,3115.79,,,,,,,,
2000-08-02,1425.25,1000.75,3442.9,,3106.45,,,,,,,,
2000-08-03,1413.85,1020.6,3349.12,,3066.78,,,,,,,,
2000-08-04,1410.96,1024.06,3142.52,,3194.44,,,,,,,,
2000-08-07,1402.67,1001.12,3165.12,,3197.86,,,,,,,,
2000-08-08,1439.91,1032.09,3494.59,,3160.4,,,,,,,,
2000-08-09,1439.38,1024.45,3587.38,,3097.15,,,,,,,,
2000-08-10,1421.24,1015.77,3442.71,,3087.11,,,,,,,,
2000-08-11,1402.78,1008.94,3434.3,,3011.01,,,,,,,,
2000-08-14,1410.43,1006.13,3507.75,,3072.61,,,,,,,,
2000-08-16,1446.44,1022.94,3700.16,,3134.21,,,,,,,,
2000-08-17,1435.68,1013.76,3596.78,,3117.45,,,,,,,,
2000-08-18,1453.5,1001.32,3782.88,,3128.58,,,,,,,,
2000-08-21,1466.56,995.43,3881.91,,3120.75,,,,,,,,
2000-08-22,1478.28,989.58,3982.08,,3080.35,,,,,,,,
2000-08-23,1483.47,999.6,3913.93,,3125.6,,,,,,,,
2000-08-24,1484.44,995.34,4145.29,,3096.42,,,,,,,,
2000-08-25,1478.33,1009.04,4144.12,,3067.82,,,,,,,,
2000-08-28,1466.13,1009.89,4057.77,,3072.21,,,,,,,,
2000-08-29,1463.83,1003.63,4117.31,,3048.43,,,,,,,,
2000-08-30,1473.02,1020.63,4185.85,,3048.15,,,,,,,,
2000-08-31,1492.45,1017.53,4306.68,,3061.6,,,,,,,,
2000-09-04,1528.48,1030.24,4501.97,,3109.97,,,,,,,,
2000-09-05,1529.01,1041.96,4432.16,,3104.13,,,,,,,,
2000-09-06,1537.89,1051.51,4413.8,,3188.79,,,,,,,,
2000-09-07,1542.6,1049.97,4416.27,,3191.19,,,,,,,,
2000-09-08,1553.64,1059.7,4479.46,,3163.04,,,,,,,,
2000-09-11,1560.39,1054.24,4415.36,,3173.13,,,,,,,,
2000-09-12,1572.49,1044.81,4441.57,,3246.12,,,,,,,,
2000-09-13,1560.17,1012.12,4426.75,,3225.34,,,,,,,,
2000-09-14,1548.55,1001.89,4368.65,,3166.02,,,,,,,,
2000-09-15,1518.44,973.32,4164.08,,3140.79,,,,,,,,
2000-09-18,1451.1,933.9,3863.37,,3082.68,,,,,,,,
2000-09-19,1411.08,952.44,3780.43,,3001.38,,,,,,,,
2000-09-20,1438.86,958.77,3868.35,,3029.03,,,,,,,,
2000-09-21,1424.88,950.95,3705.51,,3036.43,,,,,,,,
2000-09-22,1356.95,921.37,3451.03,,2896.12,,,,,,,,
2000-09-25,1384.91,938.39,3833.11,,2861.72,,,,,,,,
2000-09-26,1358.5,930.63,3658.88,,2835.23,,,,,,,,
2000-09-27,1384.91,928.7,3697.09,,2861.92,,,,,,,,
2000-09-28,1356.9,914.5,3625.6,,2721.24,,,,,,,,
2000-09-29,1362.52,920.61,3636.32,,2780.92,,,,,,,,
2000-10-03,1373.61,905.72,3645.95,,2800.04,,,,,,,,
2000-10-04,1390.54,903.05,3687.5,,2832.08,,,,,,,,
2000-10-05,1376.56,883.32,3608.37,,2834.97,,,,,,,,
2000-10-06,1376.82,878.52,3606.03,,2846.51,,,,,,,,
2000-10-09,1357.86,882.96,3494.17,,2759.83,,,,,,,,
2000-10-10,1327.48,864.74,3380.56,,2635.4,,,,,,,,
2000-10-11,1287.79,862.52,3179.9,,2635.94,,,,,,,,
2000-10-12,1292.45,871.72,3233.1,,2681.4,,,,,,,,
2000-10-13,1260.84,868.88,3040.69,,2648.76,,,,,,,,
2000-10-16,1259.45,872.61,3072.69,,2588.21,,,,,,,,
2000-10-17,1240.8,863.42,2972.46,,2534.51,,,,,,,,
2000-10-18,1217.18,856.91,2806.94,,2534.5,,,,,,,,
2000-10-19,1249.48,869.56,3113.85,,2592.47,,,,,,,,
2000-10-20,1255.75,869.44,3211.67,,2549.24,,,,,,,,
2000-10-23,1225.7,843.75,3045.53,,2520.24,,,,,,,,
2000-10-24,1234.8,841.92,3128.53,,2525.74,,,,,,,,
2000-10-25,1268.57,853.41,3212.48,,2570.86,,,,,,,,
2000-10-26,1271.14,862.54,3214.57,,2574.85,,,,,,,,
2000-10-27,1262.99,857.58,3243.76,,2530.52,,,,,,,,
2000-10-30,1250.62,858.28,3162.79,,2552.49,,,,,,,,
2000-10-31,1256.62,873.68,3238.22,,2596.64,,,,,,,,
2000-11-01,1286.67,898.28,3304.58,,2636.19,,,,,,,,
2000-11-02,1312.44,911.75,3304.53,,2689.73,,,,,,,,
2000-11-03,1330.87,921.53,3376.88,,2700.66,,,,,,,,
2000-11-06,1328.95,923.63,3358.13,,2651.22,,,,,,,,
2000-11-07,1335.91,921.09,3386.67,,2668.3,,,,,,,,
2000-11-08,1357.41,928.61,3476.16,,2716.92,,,,,,,,
2000-11-09,1360.79,921.79,3471.22,,2715.32,,,,,,,,
2000-11-10,1328.22,910.52,3368.98,,2671.03,,,,,,,,
2000-11-13,1294.46,890.71,3147.87,,2633.87,,,,,,,,
2000-11-14,1331.75,910.24,3314.4,,2666.24,,,,,,,,
2000-11-15,1336.29,943.74,3338.22,,2681.39,,,,,,,,
2000-11-16,1321.5,963.28,3332.12,,2629.86,,,,,,,,
2000-11-17,1324.45,932.63,3361.64,,2646.11,,,,,,,,
2000-11-20,1326.16,932.36,3428.63,,2658.48,,,,,,,,
2000-11-21,1323.38,923.47,3462.81,,2664.02,,,,,,,,
2000-11-22,1309.85,926.03,3338.67,,2650.8,,,,,,,,
2000-11-23,1303.04,913.42,3348.67,,2591.78,,,,,,,,
2000-11-24,1312.9,922.65,3385.21,,2585.65,,,,,,,,
2000-11-27,1342.58,951.35,3489.43,,2620.18,,,,,,,,
2000-11-28,1363.85,971.97,3437.62,,2689.03,,,,,,,,
2000-11-29,1355.28,957.84,3434.47,,2732.3,,,,,,,,
2000-11-30,1358.92,954.64,3346.08,,2793.56,,,,,,,,
2000-12-01,1367.55,960.1,3533.72,,2805.42,,,,,,,,
2000-12-04,1366.91,975.79,3467.24,,2774.41,,,,,,,,
2000-12-05,1376.61,977.69,3549.5,,2780.82,,,,,,,,
2000-12-06,1391.5,977.46,3580.64,,2828.9,,,,,,,,
2000-12-07,1395.73,981.82,3593.88,,2825.98,,,,,,,,
2000-12-08,1407.73,1007.12,3664.81,,2822.34,,,,,,,,
2000-12-11,1427.51,1013.06,3690.76,,2846.21,,,,,,,,
2000-12-12,1428.79,1009.07,3699.12,,2846.84,,,,,,,,
2000-12-13,1451.3,1032.68,3785.66,,2886.18,,,,,,,,
2000-12-14,1445.99,1016.96,3692.72,,2883.91,,,,,,,,
2000-12-15,1406.61,987.58,3490.21,,2868.36,,,,,,,,
2000-12-18,1411.97,984.48,3483.38,,2902.26,,,,,,,,
2000-12-19,1404.36,993.17,3347.35,,2919.83,,,,,,,,
2000-12-20,1388.02,998.83,3268.44,,2871.99,,,,,,,,
2000-12-21,1368.89,983.71,3130.17,,2901.32,,,,,,,,
2000-12-22,1330.96,961.34,2858.71,,2887.41,,,,,,,,
2000-12-26,1298.81,939.18,2741.21,,2875.48,,,,,,,,
2000-12-27,1316.27,950.47,2808.47,,2946.45,,,,,,,,
2000-12-28,1338.4,975.67,2844.2,,2937.58,,,,,,,,
2000-12-29,1354.05,985.74,2945.27,,2942.38,,,,,,,,
2001-01-01,1344.14,992.03,2885.14,1000.0,2899.22,,,,,,1000.0,,
2001-01-02,1362.89,1030.43,2938.66,973.1,2907.32,,,,,,1035.76,,
2001-01-03,1383.8,1058.78,2896.47,974.49,2952.71,,,,,,1063.91,,
2001-01-04,1401.37,1049.57,3152.46,966.84,2994.44,,,,,,1057.2,,
2001-01-05,1422.38,1062.08,3308.55,986.32,2980.28,,,,,,1058.76,,
2001-01-08,1403.09,1048.88,3129.28,984.7,2970.86,,,,,,1050.88,,
2001-01-09,1405.66,1042.76,3179.59,987.07,3018.79,,,,,,1044.28,,
2001-01-10,1379.56,1046.13,3112.5,984.94,2949.85,,,,,,1032.77,,
2001-01-11,1372.17,1046.65,2982.13,983.14,2923.04,,,,,,1036.05,,
2001-01-12,1378.97,1064.63,3066.69,966.52,2877.44,,,,,,1055.55,,
2001-01-15,1378.97,1072.76,3112.25,972.39,2827.64,,,,,,1076.79,,
2001-01-16,1385.73,1083.39,3072.49,965.4,2859.11,,,,,,1090.31,,
2001-01-17,1390.92,1072.73,3104.72,964.76,2896.92,,,,,,1080.5,,
2001-01-18,1399.55,1069.92,3211.0,965.19,2872.01,,,,,,1093.21,,
2001-01-19,1424.36,1084.1,3462.0,964.77,2901.39,,,,,,1105.67,,
2001-01-22,1444.61,1088.76,3462.06,982.81,2893.02,,,,,,1130.37,,
2001-01-23,1452.33,1107.79,3422.71,971.96,2894.51,,,,,,1134.27,,
2001-01-24,1463.85,1109.43,3464.05,979.61,2910.15,,,,,,1144.02,,
2001-01-25,1468.3,1137.17,3422.36,966.45,2929.94,,,,,,1169.8,,
2001-01-29,1438.24,1101.53,3305.13,943.66,2888.65,,,,,,1126.46,,
2001-01-30,1478.59,1109.06,3445.71,973.52,2958.71,,,,,,1151.97,,
2001-01-31,1470.01,1109.85,3398.12,986.97,2937.7,,,,,,1150.3,,
2001-02-01,1456.56,1096.46,3345.51,981.14,2888.42,,,,,,1155.72,,
2001-02-02,1477.68,1118.7,3414.97,997.31,2871.83,,,,,,1198.25,,
2001-02-05,1481.69,1144.5,3378.1,1000.43,2869.66,,,,,,1238.04,,
2001-02-06,1486.52,1150.0,3408.15,1002.35,2872.54,,,,,,1235.16,,
2001-02-07,1469.05,1150.35,3323.01,1009.97,2826.74,,,,,,1241.87,,
2001-02-08,1495.52,1194.71,3377.7,1007.45,2899.72,,,,,,1251.84,,
2001-02-09,1506.45,1262.57,3365.64,1020.43,2933.12,,,,,,1256.02,,
2001-02-12,1502.7,1251.14,3395.78,1033.97,2963.75,,,,,,1280.38,,
2001-02-13,1490.91,1217.1,3385.17,1025.21,2890.41,,,,,,1281.53,,
2001-02-14,1493.21,1220.19,3334.28,1022.08,2891.91,,,,,,1284.16,,
2001-02-15,1518.24,1214.9,3394.05,1020.29,3010.92,,,,,,1296.8,,
2001-02-16,1480.35,1156.17,3265.29,1007.43,2967.11,,,,,,1268.83,,
2001-02-19,1484.05,1166.12,3296.55,1002.75,2947.96,,,,,,1263.11,,
2001-02-20,1483.03,1160.31,3258.97,998.69,2937.83,,,,,,1264.32,,
2001-02-21,1468.3,1170.19,3127.66,993.2,2973.21,,,,,,1252.6,,
2001-02-22,1452.22,1144.0,3020.79,988.08,2957.12,,,,,,1253.63,,
2001-02-23,1415.09,1105.51,2895.2,970.31,2906.39,,,,,,1222.14,,
2001-02-26,1406.46,1106.17,2922.82,971.22,2845.73,,,,,,1211.75,,
2001-02-27,1388.41,1102.21,2805.52,976.13,2832.56,,,,,,1204.15,,
2001-02-28,1448.26,1188.54,3019.14,981.72,2980.85,,,,,,1225.3,,
2001-03-01,1455.38,1264.44,2802.05,1012.89,2980.73,,,,,,1273.5,,
2001-03-02,1399.98,1255.99,2439.48,994.07,2955.75,,,,,,1255.94,,
2001-03-05,1362.58,1244.1,2356.43,986.25,2883.09,,,,,,1215.54,,
2001-03-07,1382.99,1232.28,2520.86,975.23,2890.59,,,,,,1230.28,,
2001-03-08,1385.51,1232.73,2491.98,964.22,2924.98,,,,,,1230.76,,
2001-03-09,1344.68,1201.94,2273.95,946.16,2887.13,,,,,,1205.47,,
2001-03-12,1283.81,1145.65,1968.3,906.09,2809.7,,,,,,1175.26,,
2001-03-13,1205.31,1072.35,1779.1,863.86,2679.23,,,,,,1110.04,,
2001-03-14,1279.79,1114.52,1985.1,879.62,2763.94,,,,,,1118.42,,
2001-03-15,1304.39,1133.21,2100.59,916.25,2807.65,,,,,,1129.11,,
2001-03-16,1279.09,1095.76,2052.84,900.32,2793.35,,,,,,1107.51,,
2001-03-19,1271.75,1097.24,2016.09,892.12,2778.83,,,,,,1110.63,,
2001-03-20,1254.87,1085.77,1982.98,893.83,2745.61,,,,,,1101.37,,
2001-03-21,1293.62,1100.32,2005.75,907.6,2829.36,,,,,,1152.87,,
2001-03-22,1272.66,1070.86,1896.88,912.08,2796.1,,,,,,1131.3,,
2001-03-23,1244.53,1052.41,1809.45,887.73,2772.5,,,,,,1094.15,,
2001-03-26,1244.75,1046.77,1845.27,876.29,2744.06,,,,,,1097.23,,
2001-03-27,1262.16,1041.81,1933.49,889.59,2744.65,,,,,,1120.67,,
2001-03-28,1292.65,1054.02,1979.65,916.81,2838.33,,,,,,1155.79,,
2001-03-29,1280.76,1055.9,1876.82,899.48,2848.76,,,,,,1156.42,,
2001-03-30,1230.49,1005.8,1751.24,875.2,2801.25,,,,,,1135.41,,
2001-04-02,1219.67,974.11,1706.7,836.62,2796.49,,,,,,1110.75,,
2001-04-03,1231.62,984.43,1723.39,858.42,2807.24,,,,,,1123.49,,
2001-04-04,1219.77,984.04,1647.52,852.36,2805.72,,,,,,1123.61,,
2001-04-06,1222.94,982.39,1615.36,817.39,2802.15,,,,,,1119.68,,
2001-04-09,1210.86,989.0,1617.27,810.18,2784.25,,,,,,1094.43,,
2001-04-10,1183.71,977.91,1546.67,799.8,2791.92,,,,,,1056.01,,
2001-04-11,1144.81,991.73,1302.3,763.76,2749.58,,,,,,1048.11,,
2001-04-12,1099.85,977.23,1192.77,749.96,2713.51,,,,,,1002.24,,
2001-04-16,1120.99,1000.18,1321.48,749.43,2691.59,,,,,,1030.49,,
2001-04-17,1145.03,1032.55,1387.65,774.65,2722.49,,,,,,1054.99,,
2001-04-18,1184.09,1058.73,1605.09,813.31,2740.65,,,,,,1092.6,,
2001-04-19,1228.14,1066.87,1680.75,844.89,2788.98,,,,,,1135.21,,
2001-04-20,1227.66,1054.5,1743.03,862.49,2856.85,,,,,,1122.89,,
2001-04-23,1233.83,1055.87,1702.51,852.53,2862.11,,,,,,1124.86,,
2001-04-24,1230.13,1052.43,1831.34,862.71,2836.69,,,,,,1118.42,,
2001-04-25,1240.02,1053.95,1796.12,854.84,2827.97,,,,,,1140.29,,
